run_id,dataset,split,representation,checkpoint,track,pca_dim,classifier,seed,train_fraction,cp_auc,fitb_acc,pr_auc,train_seconds,extract_ips,peak_vram_mb,notes
clean_native_clip_vitl14_336_s20260912,polyvore_d_clean,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,native,,logistic_regression,20260912,1.0,0.8985868965097217,0.6469422797516841,0.8942937771397013,4.312746599956881,108.09638149985491,2029.3134765625,paper-readiness controlled robustness track
clean_native_dinov3_vitl16_s20260912,polyvore_d_clean,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,native,,logistic_regression,20260912,1.0,0.8394198658197052,0.5515783912296922,0.8302886180855632,5.238596899958793,187.21535845597867,911.22412109375,paper-readiness controlled robustness track
clean_native_fashionclip2_s20260912,polyvore_d_clean,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,native,,logistic_regression,20260912,1.0,0.9025168679659528,0.6503103949280148,0.8986238656200981,1.964802999980748,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
clean_native_gr_lite_s20260912,polyvore_d_clean,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,native,,logistic_regression,20260912,1.0,0.8332283206147741,0.5600977413815876,0.8358307906739499,2.465911599982064,150.38689509548405,1742.939453125,paper-readiness controlled robustness track
clean_native_marqo_fashionsiglip_s20260912,polyvore_d_clean,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,native,,logistic_regression,20260912,1.0,0.9139876204031328,0.6796988508783516,0.9106739700307822,3.138985000026878,549.8110388018738,651.5322265625,paper-readiness controlled robustness track
clean_native_resnet50_s20260912,polyvore_d_clean,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,native,,logistic_regression,20260912,1.0,0.7456195033077523,0.4520538898428213,0.749081299412449,20.188747599953786,535.7507293763953,764.16162109375,paper-readiness controlled robustness track
clean_native_siglip2_b16_384_s20260912,polyvore_d_clean,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,native,,logistic_regression,20260912,1.0,0.913950393022224,0.6769911504424779,0.9098545541100792,3.1771298000239767,172.6342947964257,1442.3955078125,paper-readiness controlled robustness track
clean_pca128_clip_vitl14_336_s20260912,polyvore_d_clean,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,pca128,128.0,logistic_regression,20260912,1.0,0.8893305462743826,0.6516312244089288,0.8862095240208515,0.1797802000073716,108.09638149985491,2029.3134765625,paper-readiness controlled robustness track
clean_pca128_dinov3_vitl16_s20260912,polyvore_d_clean,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,pca128,128.0,logistic_regression,20260912,1.0,0.7753362693861298,0.4918108572183331,0.7719350938835778,0.2085674999980256,187.21535845597867,911.22412109375,paper-readiness controlled robustness track
clean_pca128_fashionclip2_s20260912,polyvore_d_clean,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca128,128.0,logistic_regression,20260912,1.0,0.867654194455304,0.6122044644036455,0.8643107914911495,0.1657454000087455,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
