semantic_category,eligible_fraction,selected_fraction
<missing>,0.004375785001224546,0.005069026505383166
Tシャツ,0.027851674931414203,0.029882186407487972
アクセサリー,0.0004988057870458789,0.0006817810076601001
アンダーウェア,0.0005297002896219187,0.0008071308790236162
インテリア,0.0022513666604503184,0.0026797356646371196
カーディガン,0.011385466776613649,0.012275115451817496
キャップ,0.009573925489200405,0.009297291678450064
クラッチバッグ,0.020391495136643577,0.022776988820931595
コスメ,0.02802468414584003,0.022076863929657322
コート,0.03573988401642015,0.035315033271218904
サングラス,0.013537409310591983,0.012282758736656735
サンダル,0.029958680007100117,0.03262153969387115
ショルダーバッグ,0.047034914158220295,0.048816131611250306
ショートパンツ,0.009281832010299666,0.010604293385959897
ジャケット,0.023407360306293715,0.02332424801542109
スカート,0.04427406906437965,0.04773842844891763
ステーショナリー,0.0008948171382478435,0.0009905697151653473
ストール,0.020199387502443475,0.018972161627958523
スニーカー,0.028495404021453143,0.029299768102737978
タンクトップ,0.013273963461352662,0.01393676557586801
ダウンジャケット,0.002514250791460984,0.0024794816018490636
チュニック,0.0008594288898425616,0.0010425440520721709
トップス,0.00921835785046162,0.010836649245072756
トートバッグ,0.024412835935586647,0.02623786819613892
ニット,0.042010344602898916,0.04212825737691636
ニット帽,0.004966712577769889,0.0050904277029330345
ネイル,0.004656082397323525,0.00343642086372176
ネックレス,0.04072400985927835,0.040925204343220174
ハット,0.017471122065864833,0.016974206970981506
ハンドバッグ,0.014537267757598362,0.014883004238965773
バッグ,0.008384206280908546,0.008135512382885767
パンプス,0.044254970644605374,0.045269647445843504
パーカー,0.003453443669772594,0.0037421522572913114
ピアス,0.08874754809993192,0.08374594332657158
ファッション小物,0.0011374794130269198,0.001244326771828075
フレグランス,0.006690625821512909,0.0047128494318746375
ブラウス,0.041375041286289806,0.04199679287768145
ブレスレット,0.028661110898906446,0.026046786075157948
ブローチ,0.001889620121196325,0.002051457650851691
ブーツ,0.02110206869589249,0.02121775871372688
ヘアアクセサリー,0.011087756115426355,0.011529130851507792
ベルト,0.007656781174799972,0.006923287407382496
ボストンバッグ,0.004545423906278437,0.004688390920389074
ボディケア,0.0021749729813532017,0.0018405029892887006
メガネ,0.011528704924920741,0.00949754574123812
リュック,0.010507501185225462,0.011364035898980234
リング,0.012305561235150978,0.010931425977079317
ルームウェア,0.0006465376811822147,0.0010822891332362126
ルームシューズ,0.000486447986015463,0.0006603798101102315
レッグウェア,0.012348813538757435,0.012140593638646894
ロングスカート,0.00742310639167938,0.007236662085791286
ロングパンツ,0.06462792907970333,0.06435798700335846
ワンピース,0.02217551223085271,0.02756627110119862
傘,0.0018581639003916299,0.0020438143660124523
小物,0.0040022423791687915,0.0036687767228346193
帽子,0.007044508305565729,0.006391314782571476
手袋,0.002190701091755549,0.0020484003369159957
水着,0.0011408497223988514,0.0012748999111850301
浴衣,0.0007072032498769837,0.0009126082098051115
腕時計,0.027619685302979577,0.022021832278814803
財布,0.0026204155366768302,0.0025666150490163855
靴,0.0072540292048541444,0.007608125728978291
