outfit_length,eligible_fraction,selected_fraction
2,0.057392016541575476,0.1072016129032258
3,0.0839666214637683,0.1286532258064516
4,0.11545871990762496,0.1437983870967742
5,0.1583365780958391,0.16946774193548386
6,0.1858946817223647,0.1699758064516129
7,0.16670470870983767,0.1324032258064516
8,0.11492501241960822,0.0802983870967742
9,0.06320573584500329,0.039580645161290326
10,0.030099088333624242,0.016887096774193547
11,0.013453456679063898,0.0066935483870967745
12,0.005773439493011453,0.002838709677419355
13,0.002470495038870017,0.0011048387096774194
14,0.0012184642650948589,0.0005725806451612903
15,0.0005504907423569059,0.00021774193548387098
16,0.0002786020220464829,0.00014516129032258063
17,0.00016111924166543589,9.67741935483871e-05
18,6.713301736059829e-05,3.2258064516129034e-05
19,4.027981041635897e-05,3.2258064516129034e-05
20,3.3566508680299143e-06,0.0
