training_source,representation,task,accuracy,ci_low,ci_high,n,mLAT,mLAT_ci_low,mLAT_ci_high,archive_gt_accuracy,archive_gt_ci_low,archive_gt_ci_high
polyvore_d_clean,resnet50,AAT-Balance,0.1111111111111111,0.0,0.3333333333333333,9.0,,,,,,
polyvore_d_clean,resnet50,AAT-Color,0.4,0.2,0.6,20.0,,,,,,
polyvore_d_clean,resnet50,AAT-Material,0.5,0.25,0.75,12.0,,,,,,
polyvore_d_clean,resnet50,AAT-Occasion,0.5333333333333333,0.2666666666666666,0.8,15.0,,,,,,
polyvore_d_clean,resnet50,AAT-Season,0.25,0.0,0.5,12.0,,,,,,
polyvore_d_clean,resnet50,AAT-Style,0.28125,0.125,0.4375,32.0,,,,,,
polyvore_d_clean,dinov3_vitl16,AAT-Balance,0.4444444444444444,0.1111111111111111,0.7777777777777778,9.0,,,,,,
polyvore_d_clean,dinov3_vitl16,AAT-Color,0.25,0.05,0.45,20.0,,,,,,
polyvore_d_clean,dinov3_vitl16,AAT-Material,1.0,1.0,1.0,12.0,,,,,,
polyvore_d_clean,dinov3_vitl16,AAT-Occasion,0.7333333333333333,0.5333333333333333,0.9333333333333332,15.0,,,,,,
polyvore_d_clean,dinov3_vitl16,AAT-Season,0.5,0.25,0.75,12.0,,,,,,
polyvore_d_clean,dinov3_vitl16,AAT-Style,0.5625,0.375,0.7195312499999957,32.0,,,,,,
polyvore_d_clean,clip_vitl14_336,AAT-Balance,0.4444444444444444,0.1111111111111111,0.7777777777777778,9.0,,,,,,
polyvore_d_clean,clip_vitl14_336,AAT-Color,0.75,0.55,0.9,20.0,,,,,,
polyvore_d_clean,clip_vitl14_336,AAT-Material,1.0,1.0,1.0,12.0,,,,,,
polyvore_d_clean,clip_vitl14_336,AAT-Occasion,0.6666666666666666,0.4,0.8666666666666667,15.0,,,,,,
polyvore_d_clean,clip_vitl14_336,AAT-Season,0.5,0.25,0.75,12.0,,,,,,
polyvore_d_clean,clip_vitl14_336,AAT-Style,0.625,0.46875,0.78125,32.0,,,,,,
polyvore_d_clean,siglip2_b16_384,AAT-Balance,0.1111111111111111,0.0,0.3333333333333333,9.0,,,,,,
polyvore_d_clean,siglip2_b16_384,AAT-Color,0.65,0.45,0.85,20.0,,,,,,
polyvore_d_clean,siglip2_b16_384,AAT-Material,1.0,1.0,1.0,12.0,,,,,,
polyvore_d_clean,siglip2_b16_384,AAT-Occasion,0.8666666666666667,0.6666666666666666,1.0,15.0,,,,,,
polyvore_d_clean,siglip2_b16_384,AAT-Season,0.75,0.5,1.0,12.0,,,,,,
polyvore_d_clean,siglip2_b16_384,AAT-Style,0.46875,0.31171875,0.65625,32.0,,,,,,
polyvore_d_clean,fashionclip2,AAT-Balance,0.5555555555555556,0.2222222222222222,0.8888888888888888,9.0,,,,,,
polyvore_d_clean,fashionclip2,AAT-Color,0.7,0.5,0.9,20.0,,,,,,
polyvore_d_clean,fashionclip2,AAT-Material,0.75,0.5,1.0,12.0,,,,,,
polyvore_d_clean,fashionclip2,AAT-Occasion,0.6,0.3333333333333333,0.8666666666666667,15.0,,,,,,
polyvore_d_clean,fashionclip2,AAT-Season,0.6666666666666666,0.4166666666666667,0.9166666666666666,12.0,,,,,,
polyvore_d_clean,fashionclip2,AAT-Style,0.53125,0.34375,0.71875,32.0,,,,,,
polyvore_d_clean,marqo_fashionsiglip,AAT-Balance,0.2222222222222222,0.0,0.5555555555555556,9.0,,,,,,
polyvore_d_clean,marqo_fashionsiglip,AAT-Color,0.75,0.55,0.9,20.0,,,,,,
polyvore_d_clean,marqo_fashionsiglip,AAT-Material,1.0,1.0,1.0,12.0,,,,,,
polyvore_d_clean,marqo_fashionsiglip,AAT-Occasion,0.8,0.6,1.0,15.0,,,,,,
polyvore_d_clean,marqo_fashionsiglip,AAT-Season,0.5,0.25,0.8333333333333334,12.0,,,,,,
polyvore_d_clean,marqo_fashionsiglip,AAT-Style,0.53125,0.34375,0.6875,32.0,,,,,,
polyvore_d_clean,gr_lite,AAT-Balance,0.2222222222222222,0.0,0.5555555555555556,9.0,,,,,,
polyvore_d_clean,gr_lite,AAT-Color,0.85,0.7,1.0,20.0,,,,,,
polyvore_d_clean,gr_lite,AAT-Material,0.75,0.5,1.0,12.0,,,,,,
polyvore_d_clean,gr_lite,AAT-Occasion,0.6666666666666666,0.4,0.8666666666666667,15.0,,,,,,
polyvore_d_clean,gr_lite,AAT-Season,0.4166666666666667,0.1666666666666666,0.6666666666666666,12.0,,,,,,
polyvore_d_clean,gr_lite,AAT-Style,0.5,0.3125,0.65625,32.0,,,,,,
iqon3000_clean,resnet50,AAT-Balance,0.1111111111111111,0.0,0.3333333333333333,9.0,,,,,,
iqon3000_clean,resnet50,AAT-Color,0.35,0.15,0.55,20.0,,,,,,
iqon3000_clean,resnet50,AAT-Material,0.3333333333333333,0.0833333333333333,0.5833333333333334,12.0,,,,,,
iqon3000_clean,resnet50,AAT-Occasion,0.2,0.0,0.4,15.0,,,,,,
iqon3000_clean,resnet50,AAT-Season,0.4166666666666667,0.1666666666666666,0.6666666666666666,12.0,,,,,,
iqon3000_clean,resnet50,AAT-Style,0.34375,0.1875,0.5,32.0,,,,,,
iqon3000_clean,dinov3_vitl16,AAT-Balance,0.2222222222222222,0.0,0.4444444444444444,9.0,,,,,,
iqon3000_clean,dinov3_vitl16,AAT-Color,0.25,0.05,0.45,20.0,,,,,,
iqon3000_clean,dinov3_vitl16,AAT-Material,0.5,0.25,0.75,12.0,,,,,,
iqon3000_clean,dinov3_vitl16,AAT-Occasion,0.5333333333333333,0.2666666666666666,0.8,15.0,,,,,,
iqon3000_clean,dinov3_vitl16,AAT-Season,0.3333333333333333,0.0833333333333333,0.5833333333333334,12.0,,,,,,
iqon3000_clean,dinov3_vitl16,AAT-Style,0.46875,0.28125,0.65625,32.0,,,,,,
iqon3000_clean,clip_vitl14_336,AAT-Balance,0.1111111111111111,0.0,0.3333333333333333,9.0,,,,,,
iqon3000_clean,clip_vitl14_336,AAT-Color,0.7,0.5,0.9,20.0,,,,,,
iqon3000_clean,clip_vitl14_336,AAT-Material,0.8333333333333334,0.5833333333333334,1.0,12.0,,,,,,
iqon3000_clean,clip_vitl14_336,AAT-Occasion,0.8,0.6,1.0,15.0,,,,,,
iqon3000_clean,clip_vitl14_336,AAT-Season,0.4166666666666667,0.1666666666666666,0.6666666666666666,12.0,,,,,,
iqon3000_clean,clip_vitl14_336,AAT-Style,0.4375,0.25,0.625,32.0,,,,,,
iqon3000_clean,siglip2_b16_384,AAT-Balance,0.5555555555555556,0.2222222222222222,0.8888888888888888,9.0,,,,,,
iqon3000_clean,siglip2_b16_384,AAT-Color,0.5,0.3,0.7,20.0,,,,,,
iqon3000_clean,siglip2_b16_384,AAT-Material,0.9166666666666666,0.75,1.0,12.0,,,,,,
iqon3000_clean,siglip2_b16_384,AAT-Occasion,0.9333333333333332,0.8,1.0,15.0,,,,,,
iqon3000_clean,siglip2_b16_384,AAT-Season,0.5833333333333334,0.3333333333333333,0.8333333333333334,12.0,,,,,,
iqon3000_clean,siglip2_b16_384,AAT-Style,0.5,0.34375,0.6875,32.0,,,,,,
iqon3000_clean,fashionclip2,AAT-Balance,0.5555555555555556,0.2222222222222222,0.8888888888888888,9.0,,,,,,
iqon3000_clean,fashionclip2,AAT-Color,0.55,0.35,0.75,20.0,,,,,,
iqon3000_clean,fashionclip2,AAT-Material,0.5833333333333334,0.3333333333333333,0.8333333333333334,12.0,,,,,,
iqon3000_clean,fashionclip2,AAT-Occasion,0.6,0.3333333333333333,0.8666666666666667,15.0,,,,,,
iqon3000_clean,fashionclip2,AAT-Season,0.8333333333333334,0.5833333333333334,1.0,12.0,,,,,,
iqon3000_clean,fashionclip2,AAT-Style,0.46875,0.28125,0.625,32.0,,,,,,
iqon3000_clean,marqo_fashionsiglip,AAT-Balance,0.4444444444444444,0.1111111111111111,0.7777777777777778,9.0,,,,,,
iqon3000_clean,marqo_fashionsiglip,AAT-Color,0.7,0.5,0.9,20.0,,,,,,
iqon3000_clean,marqo_fashionsiglip,AAT-Material,0.75,0.5,1.0,12.0,,,,,,
iqon3000_clean,marqo_fashionsiglip,AAT-Occasion,0.7333333333333333,0.4666666666666667,0.9333333333333332,15.0,,,,,,
iqon3000_clean,marqo_fashionsiglip,AAT-Season,0.75,0.5,1.0,12.0,,,,,,
iqon3000_clean,marqo_fashionsiglip,AAT-Style,0.5,0.3125,0.6570312499999957,32.0,,,,,,
iqon3000_clean,gr_lite,AAT-Balance,0.2222222222222222,0.0,0.5555555555555556,9.0,,,,,,
iqon3000_clean,gr_lite,AAT-Color,0.85,0.7,1.0,20.0,,,,,,
iqon3000_clean,gr_lite,AAT-Material,0.75,0.5,1.0,12.0,,,,,,
iqon3000_clean,gr_lite,AAT-Occasion,0.5333333333333333,0.2666666666666666,0.8,15.0,,,,,,
iqon3000_clean,gr_lite,AAT-Season,0.25,0.0,0.5,12.0,,,,,,
iqon3000_clean,gr_lite,AAT-Style,0.59375,0.40625,0.75,32.0,,,,,,
