training_source,representation,task,accuracy,ci_low,ci_high,n,mLAT,mLAT_ci_low,mLAT_ci_high,archive_gt_accuracy,archive_gt_ci_low,archive_gt_ci_high
polyvore_d_clean,resnet50,AAT,0.35,0.25,0.44,,,,,,,
polyvore_d_clean,resnet50,LAT,0.37,0.28,0.46,,0.3303999999999999,0.264033,0.3982074999999999,0.38,0.29,0.48
polyvore_d_clean,dinov3_vitl16,AAT,0.56,0.47,0.65,,,,,,,
polyvore_d_clean,dinov3_vitl16,LAT,0.39,0.29,0.49,,0.33556,0.264718,0.4051419999999999,0.39,0.29,0.49
polyvore_d_clean,clip_vitl14_336,AAT,0.67,0.58,0.76,,,,,,,
polyvore_d_clean,clip_vitl14_336,LAT,0.6,0.5,0.7,,0.4926599999999999,0.4213389999999999,0.561648,0.62,0.52,0.72
polyvore_d_clean,siglip2_b16_384,AAT,0.63,0.53,0.72,,,,,,,
polyvore_d_clean,siglip2_b16_384,LAT,0.5,0.41,0.6,,0.4182399999999999,0.3496194999999998,0.4877814999999999,0.53,0.43,0.63
polyvore_d_clean,fashionclip2,AAT,0.62,0.53,0.72,,,,,,,
polyvore_d_clean,fashionclip2,LAT,0.58,0.48,0.67,,0.4814599999999999,0.410956,0.5476914999999998,0.63,0.53,0.72
polyvore_d_clean,marqo_fashionsiglip,AAT,0.64,0.54,0.73,,,,,,,
polyvore_d_clean,marqo_fashionsiglip,LAT,0.62,0.52,0.72,,0.5013,0.4348004999999999,0.5688084999999999,0.63,0.53,0.72
polyvore_d_clean,gr_lite,AAT,0.59,0.49,0.68,,,,,,,
polyvore_d_clean,gr_lite,LAT,0.54,0.44,0.64,,0.44732,0.379196,0.517486,0.58,0.48,0.68
iqon3000_clean,resnet50,AAT,0.31,0.22,0.4,,,,,,,
iqon3000_clean,resnet50,LAT,0.24,0.16,0.33,,0.23372,0.1759925,0.2986634999999999,0.27,0.18975,0.37
iqon3000_clean,dinov3_vitl16,AAT,0.4,0.31,0.49,,,,,,,
iqon3000_clean,dinov3_vitl16,LAT,0.34,0.25,0.43,,0.30382,0.2369835,0.3711914999999999,0.34,0.25,0.43
iqon3000_clean,clip_vitl14_336,AAT,0.56,0.47,0.66,,,,,,,
iqon3000_clean,clip_vitl14_336,LAT,0.5,0.4,0.6,,0.4172,0.3477149999999999,0.4869414999999999,0.53,0.43,0.62
iqon3000_clean,siglip2_b16_384,AAT,0.63,0.5397500000000001,0.72,,,,,,,
iqon3000_clean,siglip2_b16_384,LAT,0.48,0.39,0.58,,0.39998,0.3335969999999999,0.47462,0.52,0.43,0.62
iqon3000_clean,fashionclip2,AAT,0.57,0.47,0.6602499999999987,,,,,,,
iqon3000_clean,fashionclip2,LAT,0.56,0.46,0.65,,0.4650199999999999,0.3957954999999999,0.5333249999999999,0.58,0.48,0.67
iqon3000_clean,marqo_fashionsiglip,AAT,0.63,0.53,0.72,,,,,,,
iqon3000_clean,marqo_fashionsiglip,LAT,0.58,0.48,0.68,,0.4741599999999999,0.4081754999999999,0.54372,0.58,0.49,0.68
iqon3000_clean,gr_lite,AAT,0.58,0.49,0.68,,,,,,,
iqon3000_clean,gr_lite,LAT,0.47,0.37,0.57,,0.3928799999999999,0.3217954999999999,0.4597815,0.52,0.42,0.62
