dataset,representation,cp_auc,brier,log_loss,ece_10,ece_15,ece_20,auc_rank,brier_rank
polyvore_d_clean,resnet50,0.6937498134378515,0.2232193177110207,0.6450828305363493,0.0274307971459756,0.0288436272994993,0.0288596531214551,7.0,7.0
polyvore_d_clean,dinov3_vitl16,0.7822002866327329,0.1915841054169483,0.5900412965251043,0.0318802197372018,0.0321064359520238,0.0327519851594497,6.0,6.0
polyvore_d_clean,clip_vitl14_336,0.8883028123619103,0.1328551850078351,0.4470222246306126,0.0337883848306888,0.0340735456584963,0.0337883848306888,3.0,2.0
polyvore_d_clean,siglip2_b16_384,0.8891665373198181,0.1331944328062231,0.4472879276026228,0.0366620392757016,0.0372425154807374,0.0366620392757016,2.0,3.0
polyvore_d_clean,fashionclip2,0.8689566926513539,0.1458489871839207,0.4760709318387013,0.0312213587810785,0.0304586091494785,0.032146596942527,4.0,4.0
polyvore_d_clean,marqo_fashionsiglip,0.8896760907759992,0.1321754705922266,0.4487103244869682,0.0342273845844763,0.0350042417629963,0.0342273845844763,1.0,1.0
polyvore_d_clean,gr_lite,0.8276769005625799,0.1686772867026182,0.5283746326705457,0.032184532410806,0.0348955166229133,0.0341064896413456,5.0,5.0
iqon3000_clean,resnet50,0.5852339636446411,0.2498903248552462,0.697883159753921,0.0401684897748242,0.0414909752945776,0.0403214423930002,7.0,7.0
iqon3000_clean,dinov3_vitl16,0.6418802882739334,0.2417823368416035,0.6949570477076263,0.0452431210172724,0.0462281705841873,0.0470156579579047,6.0,6.0
iqon3000_clean,clip_vitl14_336,0.7042432549102497,0.2261011202875069,0.6813826861131735,0.0553156465176177,0.0562946681646615,0.0568684654374802,2.0,2.0
iqon3000_clean,siglip2_b16_384,0.7031073361082206,0.2264282486761364,0.6840532054802998,0.0538619064137709,0.0557049654034246,0.0558672383446255,3.0,3.0
iqon3000_clean,fashionclip2,0.6980518868691467,0.2280756035262181,0.6851040054099081,0.0572469407537551,0.0570487109140302,0.05738058597102,4.0,4.0
iqon3000_clean,marqo_fashionsiglip,0.7221429476131634,0.2196888011787256,0.6702229588760034,0.0582788618527098,0.058248587545655,0.058413684384283,1.0,1.0
iqon3000_clean,gr_lite,0.6510790111212278,0.2402415307681488,0.692163492527315,0.0569123944060042,0.0569123944060042,0.0569123944060042,5.0,5.0
