sensitivity_dataset,dataset,representation,cp_auc,cp_auc_ci_low,cp_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,fitb_acc,fitb_ci_low,fitb_ci_high,selected_c,cp_rank_clean_provenance,fitb_rank_clean_provenance
polyvore_d_clean,polyvore_d_clean,resnet50,0.6937498134378515,0.6880776568449304,0.6996705175783262,0.6917562150539093,0.6851932113092166,0.6985174080161823,0.4062871483291507,0.3980955689733698,0.4145350236755333,0.01,5,5
polyvore_d_clean,polyvore_d_clean,dinov3_vitl16,0.7822002866327329,0.7772420590573753,0.7872902448134689,0.7808236637109816,0.7750183112967928,0.7868058552269999,0.5048210276053362,0.4971922071672593,0.5134230850970746,100.0,4,4
polyvore_d_clean,polyvore_d_clean,clip_vitl14_336,0.8883028123619103,0.8842624563070548,0.8918663741689928,0.8864205642658753,0.8816590918206365,0.8908829541181158,0.6499801875577863,0.6423666826308941,0.6575533566231653,100.0,2,2
polyvore_d_clean,polyvore_d_clean,siglip2_b16_384,0.8891665373198181,0.885651172208303,0.8927359780848451,0.8885566123621742,0.8842297927345951,0.8926490593863127,0.6528199709417514,0.645399110983948,0.6602190470119973,0.1,1,1
polyvore_d_clean,polyvore_d_clean,fashionclip2,0.8689566926513539,0.8648370999745184,0.8730435595142428,0.8676319760886654,0.8629225033099605,0.8725412837312356,0.6174877823273015,0.6098743762141292,0.6249786880315723,0.01,3,3
iqon3000_clean,iqon3000_clean,resnet50,0.5852339636446411,0.5797818502330265,0.5908791709351922,0.5732239866931856,0.5675671501710788,0.5794226416421532,0.3166129032258064,0.3097355916077271,0.323283467451666,0.01,5,5
iqon3000_clean,iqon3000_clean,dinov3_vitl16,0.6418802882739334,0.6362349751501919,0.6474755569304674,0.62208530691433,0.6155118419973739,0.6290202614054726,0.366008064516129,0.3586592000433136,0.3738886473126446,0.01,4,4
iqon3000_clean,iqon3000_clean,clip_vitl14_336,0.7042432549102497,0.6976840209598056,0.7107675056148536,0.6856511801539527,0.6782151777480594,0.6930779544678158,0.4364112903225806,0.4280696888514271,0.4444053586097999,0.01,1,1
iqon3000_clean,iqon3000_clean,siglip2_b16_384,0.7031073361082206,0.6970445039417761,0.7092581988530667,0.6787143637201238,0.6713197810481895,0.6860667836579945,0.4330241935483871,0.4253886470258743,0.4412662826688476,0.01,2,2
iqon3000_clean,iqon3000_clean,fashionclip2,0.6980518868691467,0.6920161574372072,0.7042181042144062,0.6779604179666265,0.6708097776975134,0.6858606303040372,0.4275,0.4193306493985755,0.4358111008551296,0.01,3,3
