dataset,representation,metric,mean,sd,min,max
polyvore_d_clean,clip_vitl14_336,cp_auc,0.8877474320020113,0.00120768895843375,0.8864380631723554,0.8892434388698363
polyvore_d_clean,clip_vitl14_336,pr_auc,0.8867776500640666,0.0009045962311327356,0.8857574125281483,0.8878642864089152
polyvore_d_clean,clip_vitl14_336,fitb_accuracy,0.646004490820235,0.002151878105626977,0.6434420816272619,0.6485933166028266
polyvore_d_clean,dinov3_vitl16,cp_auc,0.7825493726531005,0.001757181527431075,0.7800372648023751,0.7846751474759064
polyvore_d_clean,dinov3_vitl16,pr_auc,0.7844159611119189,0.0026464552616060717,0.7804661845641601,0.7873033686703227
polyvore_d_clean,dinov3_vitl16,fitb_accuracy,0.5076740192841104,0.003519273253448473,0.5019152027473254,0.5103024699511293
polyvore_d_clean,fashionclip2,cp_auc,0.869850540145287,0.0017369867773128166,0.8675969980551826,0.8724206490885099
polyvore_d_clean,fashionclip2,pr_auc,0.8687164114610452,0.002260745948174715,0.8660885454455395,0.8718598907333298
polyvore_d_clean,fashionclip2,fitb_accuracy,0.6202483159424118,0.0018570458545140488,0.61828028001585,0.6225729758288205
polyvore_d_clean,gr_lite,cp_auc,0.8281439850156425,0.0012741944063894672,0.8270546378360057,0.830120925768354
polyvore_d_clean,gr_lite,pr_auc,0.8343734055411248,0.001796751512789038,0.8328244475406016,0.8367507449667444
polyvore_d_clean,gr_lite,fitb_accuracy,0.5579976225069343,0.004846832327968185,0.5521727644961035,0.5649848104609695
polyvore_d_clean,marqo_fashionsiglip,cp_auc,0.8901174403381882,0.0017255732573010555,0.8875695609673413,0.8920228027226986
polyvore_d_clean,marqo_fashionsiglip,pr_auc,0.88910422993735,0.0018283761479618021,0.8862505650698179,0.8909145263415099
polyvore_d_clean,marqo_fashionsiglip,fitb_accuracy,0.6498877294941223,0.0038490339925619224,0.6454893673226787,0.6546030907409853
polyvore_d_clean,resnet50,cp_auc,0.6936221866100898,0.002033158025711935,0.6909568657670708,0.6958917540725416
polyvore_d_clean,resnet50,pr_auc,0.6907080035821089,0.00271587532580187,0.6872062945114691,0.6943836919230801
polyvore_d_clean,resnet50,fitb_accuracy,0.41080438515387663,0.005132064208969493,0.4073438119138819,0.4194294016642451
polyvore_d_clean,siglip2_b16_384,cp_auc,0.889404530869055,0.001749554621987583,0.8873249671960284,0.8912812928727669
polyvore_d_clean,siglip2_b16_384,pr_auc,0.8891014783284469,0.002339255587927596,0.8868312648686221,0.8917224682062711
polyvore_d_clean,siglip2_b16_384,fitb_accuracy,0.6548144234579316,0.002697776027029124,0.6506406022982433,0.6581032888654075
iqon3000_clean,clip_vitl14_336,cp_auc,0.7033494372723725,0.0014055844474539579,0.7010603456685742,0.7044994366220083
iqon3000_clean,clip_vitl14_336,pr_auc,0.6842325956269889,0.0014617602266440498,0.6816257699183714,0.6849918546145128
iqon3000_clean,clip_vitl14_336,fitb_accuracy,0.4323870967741935,0.0028694835779565424,0.4287096774193548,0.4364919354838709
iqon3000_clean,dinov3_vitl16,cp_auc,0.6434494208506765,0.0017736545694789013,0.6415385007479188,0.6462914745382414
iqon3000_clean,dinov3_vitl16,pr_auc,0.6226246532943452,0.000684207673116907,0.6218460424738037,0.6236742442120544
iqon3000_clean,dinov3_vitl16,fitb_accuracy,0.3642983870967741,0.0035149635535120624,0.3617338709677419,0.3704838709677419
iqon3000_clean,fashionclip2,cp_auc,0.6960302302289282,0.0011269927320921853,0.6944051386901664,0.6975018600416234
iqon3000_clean,fashionclip2,pr_auc,0.6763948978049121,0.0015953766731344465,0.674209194932553,0.6781572111302911
iqon3000_clean,fashionclip2,fitb_accuracy,0.4275806451612903,0.0026778869102055316,0.4231854838709677,0.43
iqon3000_clean,gr_lite,cp_auc,0.6496746444133714,0.001833472954502327,0.6469691158298647,0.6520030306971905
iqon3000_clean,gr_lite,pr_auc,0.6452340902343224,0.001963121515376491,0.643129060531187,0.6476477714734062
iqon3000_clean,gr_lite,fitb_accuracy,0.38118548387096773,0.0014172110826766798,0.3798790322580645,0.3834274193548387
iqon3000_clean,marqo_fashionsiglip,cp_auc,0.7216530885796045,0.0010229111039957036,0.720744049980489,0.7228496276664933
iqon3000_clean,marqo_fashionsiglip,pr_auc,0.6979140512523779,0.0007616614433026115,0.6970576332713286,0.6988184536434656
iqon3000_clean,marqo_fashionsiglip,fitb_accuracy,0.443774193548387,0.003720247039283636,0.4377419354838709,0.4471774193548387
iqon3000_clean,resnet50,cp_auc,0.5859546605098854,0.002060328157326224,0.5837817865504683,0.588651282030437
iqon3000_clean,resnet50,pr_auc,0.5743377795495637,0.0017528269412921142,0.5715281311830969,0.5759363321563757
iqon3000_clean,resnet50,fitb_accuracy,0.3122983870967742,0.0012934689461568908,0.3108064516129032,0.3143548387096774
iqon3000_clean,siglip2_b16_384,cp_auc,0.7018854949271592,0.0005485490050803876,0.7011036200897502,0.70245141860692
iqon3000_clean,siglip2_b16_384,pr_auc,0.6782453686065203,0.0012207018310511778,0.6765892970239049,0.6797661710200575
iqon3000_clean,siglip2_b16_384,fitb_accuracy,0.43197580645161293,0.0053757728191122,0.423991935483871,0.4383870967741936
