dataset,representation,learner,train_fraction,train_seconds,cp_auc,pr_auc,fitb_acc,selected_c,n_train,epochs,hidden_units,trees,max_depth,device
historical_polyvore_d,resnet50,logistic,1.0,0.413371000031475,0.6893988767761752,0.6862707478926195,0.4009904258831297,1.0,33990.0,,,,,
historical_polyvore_d,resnet50,mlp,1.0,0.716572700010147,0.6615205625906759,0.6570220525084964,0.3640145262462859,,,10.0,128.0,,,
historical_polyvore_d,resnet50,xgboost,1.0,1.0416442999849096,0.671929987669541,0.6707010267226371,0.3638824694618686,,,,,300.0,4.0,cuda
historical_polyvore_d,dinov3_vitl16,logistic,1.0,0.6532501999754459,0.7604897458168485,0.7538503667400229,0.4722350610762628,0.01,33990.0,,,,,
historical_polyvore_d,dinov3_vitl16,mlp,1.0,0.9326779999537392,0.7449192024145159,0.740171311651256,0.4378342687355563,,,13.0,128.0,,,
historical_polyvore_d,dinov3_vitl16,xgboost,1.0,1.069911599974148,0.7246070618553497,0.7216128579174774,0.4027731924727633,,,,,300.0,4.0,cuda
historical_polyvore_d,clip_vitl14_336,logistic,1.0,0.520760599989444,0.8711718731692462,0.8635971615856728,0.6071970947507428,0.01,33990.0,,,,,
historical_polyvore_d,clip_vitl14_336,mlp,1.0,0.8734414000064135,0.8612674661064972,0.8546731998299673,0.5810498514361175,,,12.0,128.0,,,
historical_polyvore_d,clip_vitl14_336,xgboost,1.0,1.003198899968993,0.8590363364335143,0.8602558730890008,0.545526576427864,,,,,300.0,4.0,cuda
historical_polyvore_d,siglip2_b16_384,logistic,1.0,0.4833473000326194,0.8728533083025634,0.8668338036326215,0.6223836249587322,0.01,33990.0,,,,,
historical_polyvore_d,siglip2_b16_384,mlp,1.0,0.9962821999797598,0.8630439764569218,0.8573410336981584,0.5939914163090129,,,14.0,128.0,,,
historical_polyvore_d,siglip2_b16_384,xgboost,1.0,1.0780646999482997,0.8467293395057199,0.8482629330413987,0.5342357213601849,,,,,300.0,4.0,cuda
historical_polyvore_d,fashionclip2,logistic,1.0,0.5169089999981225,0.8566709722816995,0.8490946811746458,0.5946517002310994,0.1,33990.0,,,,,
historical_polyvore_d,fashionclip2,mlp,1.0,0.8051426000311039,0.8426806677085739,0.8355605136812274,0.5652030373060416,,,11.0,128.0,,,
historical_polyvore_d,fashionclip2,xgboost,1.0,1.038704799953848,0.8291449562995152,0.8305401947806086,0.5111257840871575,,,,,300.0,4.0,cuda
historical_polyvore_d,marqo_fashionsiglip,logistic,1.0,0.4876944000134244,0.8771669983163741,0.8725389539108722,0.6199405744470122,0.01,33990.0,,,,,
