model_key,lookbench_fine_recall_at_1,representation,cp_auc,fitb_acc,retrieval_rank,cp_auc_rank,fitb_acc_rank,dataset
dinov3_vitl16,43.97,dinov3_vitl16,0.7604897458168485,0.4722350610762628,4.0,5.0,5.0,historical_polyvore_d
clip_vitl14_336,39.79,clip_vitl14_336,0.8711718731692462,0.6071970947507428,5.0,3.0,3.0,historical_polyvore_d
siglip2_b16_384,59.44,siglip2_b16_384,0.8728533083025634,0.6223836249587322,3.0,2.0,1.0,historical_polyvore_d
marqo_fashionsiglip,62.77,marqo_fashionsiglip,0.8771669983163741,0.6199405744470122,2.0,1.0,2.0,historical_polyvore_d
gr_lite,65.71,gr_lite,0.8202937467799168,0.544404093760317,1.0,4.0,4.0,historical_polyvore_d
dinov3_vitl16,43.97,dinov3_vitl16,0.7822002866327329,0.5048210276053362,4.0,5.0,5.0,polyvore_d_clean
clip_vitl14_336,39.79,clip_vitl14_336,0.8883028123619103,0.6499801875577863,5.0,3.0,2.0,polyvore_d_clean
siglip2_b16_384,59.44,siglip2_b16_384,0.8891665373198181,0.6528199709417514,3.0,2.0,1.0,polyvore_d_clean
marqo_fashionsiglip,62.77,marqo_fashionsiglip,0.8896760907759992,0.6479329018623695,2.0,1.0,3.0,polyvore_d_clean
gr_lite,65.71,gr_lite,0.8276769005625799,0.5573239994716682,1.0,4.0,4.0,polyvore_d_clean
