dataset,model_a,model_b,metric
historical_polyvore_d,dinov3_vitl16,clip_vitl14_336,cp_auc
historical_polyvore_d,dinov3_vitl16,clip_vitl14_336,fitb_acc
historical_polyvore_d,clip_vitl14_336,gr_lite,cp_auc
historical_polyvore_d,clip_vitl14_336,gr_lite,fitb_acc
historical_polyvore_d,siglip2_b16_384,marqo_fashionsiglip,fitb_acc
historical_polyvore_d,siglip2_b16_384,gr_lite,cp_auc
historical_polyvore_d,siglip2_b16_384,gr_lite,fitb_acc
historical_polyvore_d,marqo_fashionsiglip,gr_lite,cp_auc
historical_polyvore_d,marqo_fashionsiglip,gr_lite,fitb_acc
polyvore_d_clean,dinov3_vitl16,clip_vitl14_336,cp_auc
polyvore_d_clean,dinov3_vitl16,clip_vitl14_336,fitb_acc
polyvore_d_clean,clip_vitl14_336,marqo_fashionsiglip,fitb_acc
polyvore_d_clean,clip_vitl14_336,gr_lite,cp_auc
polyvore_d_clean,clip_vitl14_336,gr_lite,fitb_acc
polyvore_d_clean,siglip2_b16_384,marqo_fashionsiglip,fitb_acc
polyvore_d_clean,siglip2_b16_384,gr_lite,cp_auc
polyvore_d_clean,siglip2_b16_384,gr_lite,fitb_acc
polyvore_d_clean,marqo_fashionsiglip,gr_lite,cp_auc
polyvore_d_clean,marqo_fashionsiglip,gr_lite,fitb_acc
