dataset,track,model,cp_auc,fitb_acc
historical_polyvore_d,PCA-128,ResNet50,0.6884655570597898,0.3974909210960713
historical_polyvore_d,PCA-128,DINOv3-L/16,0.7513720597446866,0.4575107296137339
historical_polyvore_d,PCA-128,CLIP-L/14@336,0.8715277921437549,0.6108946847144272
historical_polyvore_d,PCA-128,SigLIP2-B/16@384,0.8678940376187445,0.6137999339716078
historical_polyvore_d,PCA-128,FashionCLIP 2.0,0.8550718688203971,0.5912842522284583
historical_polyvore_d,PCA-128,Marqo-FashionSigLIP,0.8750944043607948,0.6171673819742489
historical_polyvore_d,PCA-128,GR-Lite,0.8208458326416774,0.5459887751733246
historical_polyvore_d,PCA-256,ResNet50,0.6894059504682426,0.4012545394519643
historical_polyvore_d,PCA-256,DINOv3-L/16,0.7604897458168485,0.4722350610762628
historical_polyvore_d,PCA-256,CLIP-L/14@336,0.8711718731692462,0.6071970947507428
historical_polyvore_d,PCA-256,SigLIP2-B/16@384,0.8728533083025634,0.6223836249587322
historical_polyvore_d,PCA-256,FashionCLIP 2.0,0.8566709722816995,0.5946517002310994
historical_polyvore_d,PCA-256,Marqo-FashionSigLIP,0.8771669983163741,0.6199405744470122
historical_polyvore_d,PCA-256,GR-Lite,0.8202937467799168,0.544404093760317
historical_polyvore_d,PCA-512,ResNet50,0.6853577931214285,0.3934631891713436
historical_polyvore_d,PCA-512,DINOv3-L/16,0.7576114725039922,0.4677451304060746
historical_polyvore_d,PCA-512,CLIP-L/14@336,0.8682171276864634,0.6046219874546055
historical_polyvore_d,PCA-512,SigLIP2-B/16@384,0.8699978037766539,0.6190822053482997
historical_polyvore_d,PCA-512,FashionCLIP 2.0,0.8532875174621556,0.5889072301089469
historical_polyvore_d,PCA-512,Marqo-FashionSigLIP,0.8747124969250148,0.615450643776824
historical_polyvore_d,PCA-512,GR-Lite,0.8165638227409062,0.5411687025420931
historical_polyvore_d,Native,ResNet50,0.7329965434823339,0.4336744800264113
historical_polyvore_d,Native,DINOv3-L/16,0.8048032810595847,0.5059755694948828
historical_polyvore_d,Native,CLIP-L/14@336,0.8754408103639072,0.6066688676130736
historical_polyvore_d,Native,SigLIP2-B/16@384,0.8952099464176,0.6385605810498515
historical_polyvore_d,Native,FashionCLIP 2.0,0.8795973641396073,0.6150544734235721
historical_polyvore_d,Native,Marqo-FashionSigLIP,0.8954598559255686,0.6433146252888742
historical_polyvore_d,Native,GR-Lite,0.8255406693151413,0.5421591284252228
polyvore_d_clean,PCA-128,ResNet50,0.6941402985912031,0.4070136045436534
polyvore_d_clean,PCA-128,DINOv3-L/16,0.7753362693861298,0.4918108572183331
polyvore_d_clean,PCA-128,CLIP-L/14@336,0.8893305462743826,0.6516312244089288
polyvore_d_clean,PCA-128,SigLIP2-B/16@384,0.8851600045087197,0.6446308281600845
polyvore_d_clean,PCA-128,FashionCLIP 2.0,0.867654194455304,0.6122044644036455
polyvore_d_clean,PCA-128,Marqo-FashionSigLIP,0.8866369552143203,0.6426495839387135
polyvore_d_clean,PCA-128,GR-Lite,0.8277659335589101,0.5579844142121252
polyvore_d_clean,PCA-256,ResNet50,0.6937498134378515,0.4062871483291507
polyvore_d_clean,PCA-256,DINOv3-L/16,0.7822002866327329,0.5048210276053362
polyvore_d_clean,PCA-256,CLIP-L/14@336,0.8883028123619103,0.6499801875577863
polyvore_d_clean,PCA-256,SigLIP2-B/16@384,0.8891665373198181,0.6528199709417514
polyvore_d_clean,PCA-256,FashionCLIP 2.0,0.8689566926513539,0.6174877823273015
polyvore_d_clean,PCA-256,Marqo-FashionSigLIP,0.8896760907759992,0.6479329018623695
polyvore_d_clean,PCA-256,GR-Lite,0.8276769005625799,0.5573239994716682
polyvore_d_clean,PCA-512,ResNet50,0.689701358116614,0.4038436137894597
polyvore_d_clean,PCA-512,DINOv3-L/16,0.7809427530765376,0.5029718663320565
polyvore_d_clean,PCA-512,CLIP-L/14@336,0.8839132110878987,0.6426495839387135
polyvore_d_clean,PCA-512,SigLIP2-B/16@384,0.8866628100457918,0.6474706115440496
polyvore_d_clean,PCA-512,FashionCLIP 2.0,0.8655645740902383,0.6109496763967772
polyvore_d_clean,PCA-512,Marqo-FashionSigLIP,0.8872785610882588,0.6478668603883239
polyvore_d_clean,PCA-512,GR-Lite,0.8215294978592217,0.5548144234579315
polyvore_d_clean,Native,ResNet50,0.7456195033077523,0.4520538898428213
polyvore_d_clean,Native,DINOv3-L/16,0.8394198658197052,0.5515783912296922
polyvore_d_clean,Native,CLIP-L/14@336,0.8985868965097217,0.6469422797516841
polyvore_d_clean,Native,SigLIP2-B/16@384,0.913950393022224,0.6769911504424779
polyvore_d_clean,Native,FashionCLIP 2.0,0.9025168679659528,0.6503103949280148
polyvore_d_clean,Native,Marqo-FashionSigLIP,0.9139876204031328,0.6796988508783516
polyvore_d_clean,Native,GR-Lite,0.8332283206147741,0.5600977413815876
