comparison,n_models,spearman_rho,spearman_p,kendall_tau,kendall_p
historical_polyvore_d: CP vs FITB,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
polyvore_d_clean: CP vs FITB,7,0.8928571428571429,0.0068071874089353,0.8095238095238096,0.0107142857142857
historical vs clean CP,7,1.0,0.0,1.0,0.0003968253968253
historical vs clean FITB,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
historical: CP PCA256 vs pca128,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
historical: FITB PCA256 vs pca128,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
historical: CP PCA256 vs pca512,7,1.0,0.0,1.0,0.0003968253968253
historical: FITB PCA256 vs pca512,7,1.0,0.0,1.0,0.0003968253968253
historical: CP PCA256 vs native,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
historical: FITB PCA256 vs native,7,0.9285714285714288,0.0025194724037946,0.8095238095238096,0.0107142857142857
clean: CP PCA256 vs pca128,7,0.8928571428571429,0.0068071874089353,0.8095238095238096,0.0107142857142857
clean: FITB PCA256 vs pca128,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
clean: CP PCA256 vs pca512,7,1.0,0.0,1.0,0.0003968253968253
clean: FITB PCA256 vs pca512,7,0.8928571428571429,0.0068071874089353,0.8095238095238096,0.0107142857142857
clean: CP PCA256 vs native,7,0.9285714285714288,0.0025194724037946,0.8095238095238096,0.0107142857142857
clean: FITB PCA256 vs native,7,0.8214285714285715,0.0234488083456915,0.7142857142857143,0.0301587301587301
Polyvore CP vs IQON CP,7,0.9642857142857144,0.0004541491691941,0.9047619047619048,0.0027777777777777
Polyvore FITB vs IQON FITB,7,0.8571428571428573,0.0136973266153256,0.7142857142857143,0.0301587301587301
IQON CP vs FITB,7,1.0,0.0,1.0,0.0003968253968253
polyvore_d_clean CP vs A100 LAT,7,0.7857142857142859,0.0362384626798271,0.7142857142857143,0.0301587301587301
polyvore_d_clean CP vs A100 AAT,7,0.8928571428571429,0.0068071874089353,0.8095238095238096,0.0107142857142857
iqon3000_clean CP vs A100 LAT,7,0.8928571428571429,0.0068071874089353,0.8095238095238096,0.0107142857142857
iqon3000_clean CP vs A100 AAT,7,0.7207499701564473,0.0676349947302816,0.5855400437691199,0.0683138631508987
