dataset,representation,task,subgroup_type,subgroup,n,positive_n,metric,value
polyvore_d_clean,resnet50,CP,outfit_length,2,1654,827.0,roc_auc,0.6180890121635433
polyvore_d_clean,resnet50,CP,outfit_length,3,5072,2536.0,roc_auc,0.672035776303874
polyvore_d_clean,resnet50,CP,outfit_length,4,7490,3745.0,roc_auc,0.6951941262136788
polyvore_d_clean,resnet50,CP,outfit_length,5,7526,3763.0,roc_auc,0.7064467945262518
polyvore_d_clean,resnet50,CP,outfit_length,6+,8542,4271.0,roc_auc,0.7396133068653952
polyvore_d_clean,resnet50,CP,contains_category,accessories,3510,1755.0,roc_auc,0.7263327408056753
polyvore_d_clean,resnet50,CP,contains_category,all-body,10950,5475.0,roc_auc,0.7001596130189112
polyvore_d_clean,resnet50,CP,contains_category,bags,23692,11846.0,roc_auc,0.7028063686292736
polyvore_d_clean,resnet50,CP,contains_category,bottoms,15440,7720.0,roc_auc,0.7035817068914603
polyvore_d_clean,resnet50,CP,contains_category,hats,2982,1491.0,roc_auc,0.747721293106279
polyvore_d_clean,resnet50,CP,contains_category,jewellery,15048,7524.0,roc_auc,0.7050750464012236
polyvore_d_clean,resnet50,CP,contains_category,outerwear,9912,4956.0,roc_auc,0.7128145965366899
polyvore_d_clean,resnet50,CP,contains_category,scarves,2518,1259.0,roc_auc,0.7173362118402782
polyvore_d_clean,resnet50,CP,contains_category,shoes,27358,13679.0,roc_auc,0.6959881488094803
polyvore_d_clean,resnet50,CP,contains_category,sunglasses,5160,2580.0,roc_auc,0.7021213418664745
polyvore_d_clean,resnet50,CP,contains_category,tops,16438,8219.0,roc_auc,0.6997978933579737
polyvore_d_clean,resnet50,FITB,outfit_length,2,827,,accuracy,0.38331318016928656
polyvore_d_clean,resnet50,FITB,outfit_length,3,2536,,accuracy,0.40457413249211355
polyvore_d_clean,resnet50,FITB,outfit_length,4,3745,,accuracy,0.4136181575433912
polyvore_d_clean,resnet50,FITB,outfit_length,5,3763,,accuracy,0.4039330321551953
polyvore_d_clean,resnet50,FITB,outfit_length,6+,4271,,accuracy,0.40739873565909623
polyvore_d_clean,resnet50,FITB,blank_category,accessories,379,,accuracy,0.39577836411609496
polyvore_d_clean,resnet50,FITB,blank_category,all-body,1397,,accuracy,0.4087329992841804
polyvore_d_clean,resnet50,FITB,blank_category,bags,2684,,accuracy,0.407973174366617
polyvore_d_clean,resnet50,FITB,blank_category,bottoms,1610,,accuracy,0.4192546583850932
polyvore_d_clean,resnet50,FITB,blank_category,hats,294,,accuracy,0.43537414965986393
polyvore_d_clean,resnet50,FITB,blank_category,jewellery,2056,,accuracy,0.384727626459144
polyvore_d_clean,resnet50,FITB,blank_category,outerwear,1025,,accuracy,0.4146341463414634
polyvore_d_clean,resnet50,FITB,blank_category,scarves,208,,accuracy,0.375
polyvore_d_clean,resnet50,FITB,blank_category,shoes,3133,,accuracy,0.42355569741461857
polyvore_d_clean,resnet50,FITB,blank_category,sunglasses,504,,accuracy,0.31547619047619047
polyvore_d_clean,resnet50,FITB,blank_category,tops,1852,,accuracy,0.4065874730021598
