dataset,task,subgroup_type,subgroup,n,min,max,mean
iqon3000_clean,CP,contains_category,<missing>,1000,0.6525880000000001,0.8501,0.7890305714285715
iqon3000_clean,CP,contains_category,Tシャツ,6454,0.6080333573757754,0.7498898308152788,0.6926969988477764
iqon3000_clean,CP,contains_category,アクセサリー,244,0.5805563020693362,0.7758667024993281,0.7013571620532115
iqon3000_clean,CP,contains_category,アンダーウェア,228,0.6628193290243152,0.8363342566943675,0.7808996174647145
iqon3000_clean,CP,contains_category,インテリア,526,0.6384941230898236,0.7801905477887494,0.7423246995454198
iqon3000_clean,CP,contains_category,カーディガン,2912,0.5791521536499216,0.712119139445719,0.6644657803685717
iqon3000_clean,CP,contains_category,キャップ,1584,0.6776245727476787,0.7865763059891847,0.7384088449429358
iqon3000_clean,CP,contains_category,クラッチバッグ,5264,0.5904598881200285,0.7356793809646991,0.6853797828951798
iqon3000_clean,CP,contains_category,コスメ,1572,0.6188919967108883,0.7592117786453781,0.7156779907930773
iqon3000_clean,CP,contains_category,コート,6724,0.6026922924479459,0.756539388858435,0.7026747206959723
iqon3000_clean,CP,contains_category,サングラス,2016,0.599788989669942,0.7331664147140338,0.6856967530729223
iqon3000_clean,CP,contains_category,サンダル,7022,0.6071864630841215,0.7752930307084679,0.7148283911083999
iqon3000_clean,CP,contains_category,ショルダーバッグ,9372,0.585282638288896,0.7431609015439784,0.6953515769925753
iqon3000_clean,CP,contains_category,ショートパンツ,2752,0.5945966358504597,0.7320685378921039,0.6801699715217685
iqon3000_clean,CP,contains_category,ジャケット,4344,0.603777696380181,0.7718563145881451,0.7142616856424814
iqon3000_clean,CP,contains_category,スカート,10548,0.5835681700096739,0.7415745331776191,0.6872150068134685
iqon3000_clean,CP,contains_category,ストール,2954,0.6023215827064412,0.7731792701357625,0.7142466525607892
iqon3000_clean,CP,contains_category,スニーカー,5912,0.611271185781173,0.749923494518614,0.6962011149674574
iqon3000_clean,CP,contains_category,タンクトップ,3390,0.5793988914123616,0.7088170134266147,0.6666251225997486
iqon3000_clean,CP,contains_category,ダウンジャケット,484,0.6270746533706714,0.7684755139676251,0.7147930957096997
iqon3000_clean,CP,contains_category,チュニック,320,0.5512109374999999,0.7409765625,0.6819921874999999
iqon3000_clean,CP,contains_category,トップス,3024,0.606288142829148,0.729052063212116,0.6815942352837666
iqon3000_clean,CP,contains_category,トートバッグ,5620,0.6107650612327604,0.767846405187371,0.7136868019836194
iqon3000_clean,CP,contains_category,ニット,7678,0.5921084459605938,0.7311678492509222,0.6865714981102151
iqon3000_clean,CP,contains_category,ニット帽,1110,0.6275659443227011,0.7437026215404594,0.7024937678991733
iqon3000_clean,CP,contains_category,ネイル,408,0.6466503267973858,0.7656430219146482,0.7197987037952436
iqon3000_clean,CP,contains_category,ネックレス,8532,0.586868107908035,0.7568093940047331,0.7020981936504734
iqon3000_clean,CP,contains_category,ハット,3502,0.6011576643321381,0.7806721198068755,0.7110020279091326
iqon3000_clean,CP,contains_category,ハンドバッグ,2922,0.586345601659576,0.7585282599702696,0.7020603886572879
