training_source,seed,task,majority_accuracy,mLAT,archive_gt_accuracy,overall_accuracy,color_accuracy,style_accuracy,occasion_accuracy,season_accuracy,material_accuracy,balance_accuracy
polyvore_d_clean,42,LAT,0.44,0.3781799999999999,0.48,,,,,,,
polyvore_d_clean,42,AAT,,,,0.3,0.35,0.34375,0.4666666666666667,0.25,0.1666666666666666,0.0
polyvore_d_clean,43,LAT,0.51,0.43772,0.55,,,,,,,
polyvore_d_clean,43,AAT,,,,0.36,0.45,0.5,0.4,0.1666666666666666,0.1666666666666666,0.1111111111111111
polyvore_d_clean,44,LAT,0.43,0.3742599999999999,0.48,,,,,,,
polyvore_d_clean,44,AAT,,,,0.32,0.35,0.4375,0.2666666666666666,0.3333333333333333,0.25,0.0
polyvore_d_clean,45,LAT,0.53,0.4514599999999999,0.57,,,,,,,
polyvore_d_clean,45,AAT,,,,0.37,0.35,0.4375,0.2666666666666666,0.4166666666666667,0.5833333333333334,0.0
polyvore_d_clean,46,LAT,0.54,0.4488199999999999,0.58,,,,,,,
polyvore_d_clean,46,AAT,,,,0.35,0.5,0.34375,0.4,0.1666666666666666,0.4166666666666667,0.1111111111111111
iqon3000_clean,42,LAT,0.42,0.3588999999999999,0.46,,,,,,,
iqon3000_clean,42,AAT,,,,0.42,0.45,0.53125,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333
iqon3000_clean,43,LAT,0.41,0.34474,0.43,,,,,,,
iqon3000_clean,43,AAT,,,,0.38,0.35,0.46875,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.2222222222222222
iqon3000_clean,44,LAT,0.38,0.3429,0.43,,,,,,,
iqon3000_clean,44,AAT,,,,0.34,0.35,0.375,0.3333333333333333,0.25,0.5,0.1111111111111111
iqon3000_clean,45,LAT,0.43,0.3682199999999999,0.43,,,,,,,
iqon3000_clean,45,AAT,,,,0.45,0.35,0.53125,0.5333333333333333,0.3333333333333333,0.5,0.3333333333333333
iqon3000_clean,46,LAT,0.45,0.39008,0.47,,,,,,,
iqon3000_clean,46,AAT,,,,0.32,0.4,0.34375,0.2666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333
